,genes
6459,LRP11
6460,LRP12
6461,LRP1B
6462,LRP2
6463,LRP2BP
6464,LRP3
6465,LRP4
6466,LRP5
6467,LRP5L
6468,LRP6
6469,LRP8
6470,LRPAP1
6471,LRPPRC
6472,LRR1
6473,LRRC1
6474,LRRC10B
6475,LRRC14
6476,LRRC15
6477,LRRC17
6478,LRRC19
6479,LRRC2
6480,LRRC20
6481,LRRC23
6482,LRRC25
6483,LRRC27
6484,LRRC28
6485,LRRC29
6486,LRRC3
6487,LRRC31
6488,LRRC32
6489,LRRC36
6490,LRRC39
6491,LRRC3B
6492,LRRC4
6493,LRRC40
6494,LRRC41
6495,LRRC42
6496,LRRC43
6497,LRRC45
6498,LRRC46
6499,LRRC47
6500,LRRC49
6501,LRRC4B
6502,LRRC4C
6503,LRRC52
6504,LRRC55
6505,LRRC56
6506,LRRC57
6507,LRRC58
6508,LRRC59
6509,LRRC6
6510,LRRC61
6511,LRRC66
6512,LRRC69
6513,LRRC7
6514,LRRC71
6515,LRRC73
6516,LRRC8A
6517,LRRC8B
6518,LRRC8C
6519,LRRC8D
6520,LRRC8E
6521,LRRCC1
6522,LRRD1
6523,LRRFIP1
6524,LRRFIP2
6525,LRRIQ1
6526,LRRIQ3
6527,LRRK1
6528,LRRK2
6529,LRRN1
6530,LRRN2
6531,LRRN3
6532,LRRN4
6533,LRRN4CL
6534,LRRTM1
6535,LRRTM2
6536,LRRTM4
6537,LRSAM1
6538,LRTM1
6539,LRTM2
6540,LRTOMT
6541,LRWD1
6542,LSAMP
6543,LSG1
6544,LSM1
6545,LSM10
6546,LSM11
6547,LSM14A
6548,LSM14B
6549,LSM2
6550,LSM3
6551,LSM4
6552,LSM5
6553,LSM6
6554,LSM7
6555,LSP1
6556,LSR
6557,LSS
6558,LTA4H
6559,LTB4R
6560,LTB4R2
6561,LTBP1
6562,LTBP2
6563,LTBP3
6564,LTBP4
6565,LTBR
6566,LTF
6567,LTK
6568,LTN1
6569,LTV1
6570,LUC7L
6571,LUC7L2
6572,LUC7L3
6573,LUM
6574,LURAP1
6575,LUZP1
6576,LUZP2
6577,LUZP4
6578,LXN
6579,LY6D
6580,LY6E
6581,LY6G5C
6582,LY6G6C
6583,LY6H
6584,LY6K
6585,LY86
6586,LY9
6587,LY96
6588,LYAR
6589,LYG1
6590,LYG2
6591,LYL1
6592,LYN
6593,LYNX1
6594,LYPD1
6595,LYPD3
6596,LYPD5
6597,LYPD6
6598,LYPD6B
6599,LYPLA2
6600,LYPLAL1
6601,LYRM1
6602,LYRM2
6603,LYRM4
6604,LYRM7
6605,LYSMD1
6606,LYSMD2
6607,LYSMD4
6608,LYST
6609,LYVE1
6610,LYZ
6611,LYZL4
6612,LZIC
6613,LZTFL1
6614,LZTR1
6615,LZTS1
6616,LZTS2
6617,M6PR
6618,MAB21L1
6619,MAB21L2
6620,MAB21L3
6621,MACC1
6622,MACF1
6623,MACROD1
6624,MAD1L1
6625,MAD2L1
6626,MAD2L1BP
6627,MAD2L2
6628,MADCAM1
6629,MADD
6630,MAEA
6631,MAEL
6632,MAF
6633,MAF1
6634,MAFB
6635,MAFF
6636,MAFG
6637,MAFK
6638,MAG
6639,MAGEA1
6640,MAGEA11
6641,MAGEA4
6642,MAGEA8
6643,MAGEB1
6644,MAGEB18
6645,MAGEB2
6646,MAGEB3
6647,MAGEB4
6648,MAGEB6
6649,MAGEC1
6650,MAGEC2
6651,MAGEC3
6652,MAGED1
6653,MAGED2
6654,MAGEE1
6655,MAGEE2
6656,MAGEF1
6657,MAGEH1
6658,MAGI1
6659,MAGI2
6660,MAGI3
6661,MAGOH
6662,MAGOHB
6663,MAGT1
6664,MAK
6665,MAK16
6666,MAL
6667,MALSU1
6668,MALT1
6669,MAMDC2
6670,MAMDC4
6671,MAML1
6672,MAML2
6673,MAML3
6674,MAMLD1
6675,MAMSTR
6676,MAN1A1
6677,MAN1A2
6678,MAN1B1
6679,MAN1C1
6680,MAN2A1
6681,MAN2A2
6682,MAN2B1
6683,MAN2B2
6684,MAN2C1
6685,MANBA
6686,MANBAL
6687,MANEA
6688,MANEAL
6689,MANF
6690,MANSC1
6691,MAOA
6692,MAOB
6693,MAP1A
6694,MAP1B
6695,MAP1LC3A
6696,MAP1LC3B
6697,MAP1LC3C
6698,MAP1S
6699,MAP2
6700,MAP2K1
6701,MAP2K2
6702,MAP2K3
6703,MAP2K4
6704,MAP2K5
6705,MAP2K6
6706,MAP2K7
6707,MAP3K1
6708,MAP3K10
6709,MAP3K11
6710,MAP3K12
6711,MAP3K13
6712,MAP3K2
6713,MAP3K3
6714,MAP3K4
6715,MAP3K5
6716,MAP3K6
6717,MAP3K7
6718,MAP3K8
6719,MAP3K9
6720,MAP4
6721,MAP4K1
6722,MAP4K2
6723,MAP4K3
6724,MAP4K4
6725,MAP4K5
6726,MAP6
6727,MAP6D1
6728,MAP7
6729,MAP7D1
6730,MAP7D3
6731,MAP9
6732,MAPK1
6733,MAPK10
6734,MAPK11
6735,MAPK12
6736,MAPK13
6737,MAPK14
6738,MAPK15
6739,MAPK1IP1L
6740,MAPK3
6741,MAPK4
6742,MAPK7
6743,MAPK8
6744,MAPK8IP1
6745,MAPK8IP2
6746,MAPK8IP3
6747,MAPK9
6748,MAPKAP1
6749,MAPKAPK2
6750,MAPKAPK3
6751,MAPKAPK5
6752,MAPKBP1
6753,MAPRE1
6754,MAPRE2
6755,MAPRE3
6756,MAPT
6757,MARCKSL1
6758,MARCO
6759,MARK1
6760,MARK2
6761,MARK3
6762,MARK4
6763,MARVELD2
6764,MAS1
6765,MAS1L
6766,MASP2
6767,MAST1
6768,MAST2
6769,MAST3
6770,MAST4
6771,MASTL
6772,MAT1A
6773,MAT2A
6774,MAT2B
6775,MATK
6776,MATN1
6777,MATN2
6778,MATN3
6779,MATR3
6780,MAU2
6781,MAVS
6782,MAX
6783,MAZ
6784,MB
6785,MB21D2
6786,MBD1
6787,MBD2
6788,MBD3
6789,MBD3L1
6790,MBD4
6791,MBD5
6792,MBD6
6793,MBIP
6794,MBL2
6795,MBLAC1
6796,MBNL1
6797,MBNL2
6798,MBNL3
6799,MBOAT1
6800,MBOAT2
6801,MBOAT7
6802,MBTD1
6803,MBTPS1
6804,MBTPS2
6805,MC2R
6806,MC3R
6807,MC4R
6808,MC5R
6809,MCAM
6810,MCAT
6811,MCC
6812,MCCC1
6813,MCCC2
6814,MCEE
6815,MCF2
6816,MCF2L
6817,MCF2L2
6818,MCFD2
6819,MCHR1
6820,MCHR2
6821,MCL1
6822,MCM10
6823,MCM2
6824,MCM3
6825,MCM3AP
6826,MCM4
6827,MCM5
6828,MCM6
6829,MCM7
6830,MCM8
6831,MCM9
6832,MCMBP
6833,MCOLN1
6834,MCOLN2
6835,MCOLN3
6836,MCPH1
6837,MCRS1
6838,MCTP1
6839,MCTP2
6840,MCTS1
6841,MCU
6842,MDC1
6843,MDFI
6844,MDFIC
6845,MDGA1
6846,MDGA2
6847,MDH1
6848,MDH1B
6849,MDH2
6850,MDK
6851,MDM1
6852,MDM2
6853,MDM4
6854,MDN1
6855,ME1
6856,ME2
6857,ME3
6858,MEA1
6859,MECOM
6860,MECP2
6861,MECR
6862,MED1
6863,MED10
6864,MED11
6865,MED12
6866,MED12L
6867,MED13
6868,MED13L
6869,MED14
6870,MED15
6871,MED16
6872,MED17
6873,MED18
6874,MED19
6875,MED20
6876,MED21
6877,MED22
6878,MED23
6879,MED24
6880,MED25
6881,MED27
6882,MED28
6883,MED29
6884,MED30
6885,MED31
6886,MED4
6887,MED6
6888,MED8
6889,MED9
6890,MEF2A
6891,MEF2D
6892,MEFV
6893,MEGF10
6894,MEGF11
6895,MEGF6
6896,MEGF8
6897,MEGF9
6898,MEI1
6899,MEIG1
6900,MEIS1
6901,MEIS2
6902,MELK
6903,MEN1
6904,MEOX1
6905,MEOX2
6906,MEP1A
6907,MEP1B
6908,MEPCE
6909,MEPE
6910,MERTK
6911,MESP1
6912,MESP2
6913,MEST
6914,MET
6915,METAP1
6916,METAP1D
6917,METAP2
6918,METRNL
6919,METTL1
6920,METTL14
6921,METTL15
6922,METTL16
6923,METTL17
6924,METTL18
6925,METTL21A
6926,METTL21C
6927,METTL22
6928,METTL23
6929,METTL2B
6930,METTL3
6931,METTL4
6932,METTL5
6933,METTL6
6934,METTL7A
6935,METTL7B
6936,METTL8
6937,METTL9
6938,MEX3B
6939,MEX3C
6940,MEX3D
6941,MFAP1
6942,MFAP2
6943,MFAP3
6944,MFAP3L
6945,MFAP4
6946,MFAP5
6947,MFF
6948,MFGE8
6949,MFHAS1
6950,MFN1
6951,MFN2
6952,MFNG
6953,MFSD1
6954,MFSD10
6955,MFSD11
6956,MFSD12
6957,MFSD2A
6958,MFSD3
6959,MFSD5
6960,MFSD6
6961,MFSD6L
6962,MFSD8
6963,MFSD9
6964,MGA
6965,MGAM
6966,MGAT1
6967,MGAT2
6968,MGAT4A
6969,MGAT4B
6970,MGAT4C
6971,MGAT5
6972,MGAT5B
6973,MGLL
6974,MGMT
6975,MGRN1
6976,MGST1
6977,MGST2
6978,MGST3
6979,MIA
6980,MIB1
6981,MIB2
6982,MICAL1
6983,MICAL2
6984,MICAL3
6985,MICALL1
6986,MICALL2
6987,MICB
6988,MICU1
6989,MID1
6990,MID1IP1
6991,MID2
6992,MIDN
6993,MIEN1
6994,MIER1
6995,MIER2
6996,MIER3
6997,MIF
6998,MIIP
6999,MINK1
7000,MINPP1
7001,MIOS
7002,MIOX
7003,MIP
7004,MIPEP
7005,MIPOL1
7006,MIS12
7007,MIS18A
7008,MIS18BP1
7009,MITD1
7010,MITF
7011,MIXL1
7012,MKI67
7013,MKKS
7014,MKLN1
7015,MKNK1
7016,MKNK2
7017,MKRN1
7018,MKRN2
7019,MKRN3
7020,MKS1
7021,MKX
7022,MLANA
7023,MLC1
7024,MLEC
7025,MLF2
7026,MLH1
7027,MLH3
7028,MLIP
7029,MLKL
7030,MLLT1
7031,MLLT10
7032,MLLT11
7033,MLLT3
7034,MLN
7035,MLNR
7036,MLPH
7037,MLST8
7038,MLX
7039,MLXIP
7040,MLXIPL
7041,MMAA
7042,MMAB
7043,MMACHC
7044,MMADHC
7045,MMD
7046,MMD2
7047,MME
7048,MMEL1
7049,MMGT1
7050,MMP1
7051,MMP10
7052,MMP11
7053,MMP13
7054,MMP14
7055,MMP15
7056,MMP16
7057,MMP17
7058,MMP19
7059,MMP2
7060,MMP20
7061,MMP21
7062,MMP24
7063,MMP25
7064,MMP26
7065,MMP27
7066,MMP3
7067,MMP7
7068,MMP8
7069,MMP9
7070,MMRN1
7071,MMRN2
7072,MMS19
7073,MN1
7074,MND1
7075,MNDA
7076,MNS1
7077,MNT
7078,MNX1
7079,MOAP1
7080,MOB1A
7081,MOB1B
7082,MOB2
7083,MOB3A
7084,MOB3B
7085,MOB4
7086,MOCOS
7087,MOCS1
7088,MOCS2
7089,MOCS3
7090,MOG
7091,MOGAT1
7092,MOGAT2
7093,MOGAT3
7094,MOGS
7095,MOK
7096,MON1A
7097,MON1B
7098,MON2
7099,MORC1
7100,MORC2
7101,MORC3
7102,MORF4L1
7103,MORF4L2
7104,MORN1
7105,MORN2
7106,MORN3
7107,MORN4
7108,MORN5
7109,MOS
7110,MOSPD1
7111,MOSPD2
7112,MOSPD3
7113,MOV10
7114,MOV10L1
7115,MOXD1
7116,MPDU1
7117,MPDZ
7118,MPEG1
7119,MPG
7120,MPHOSPH10
7121,MPHOSPH6
7122,MPHOSPH8
7123,MPHOSPH9
7124,MPI
7125,MPL
7126,MPLKIP
7127,MPND
7128,MPO
7129,MPP1
7130,MPP2
7131,MPP3
7132,MPP4
7133,MPP5
7134,MPP6
7135,MPP7
7136,MPPE1
7137,MPPED1
7138,MPPED2
7139,MPST
7140,MPV17
7141,MPV17L2
7142,MPZ
7143,MPZL1
7144,MPZL2
7145,MPZL3
7146,MR1
7147,MRAP
7148,MRAP2
7149,MRAS
7150,MRC2
7151,MREG
7152,MRFAP1
7153,MRFAP1L1
7154,MRGPRF
7155,MRGPRX1
7156,MRGPRX2
7157,MRGPRX4
7158,MRI1
7159,MRO
7160,MRPL1
7161,MRPL10
7162,MRPL11
7163,MRPL13
7164,MRPL14
7165,MRPL15
7166,MRPL16
7167,MRPL17
7168,MRPL18
7169,MRPL19
7170,MRPL2
7171,MRPL20
7172,MRPL21
7173,MRPL22
7174,MRPL23
7175,MRPL24
7176,MRPL27
7177,MRPL28
7178,MRPL3
7179,MRPL32
7180,MRPL33
7181,MRPL34
7182,MRPL35
7183,MRPL36
7184,MRPL37
7185,MRPL38
7186,MRPL39
7187,MRPL4
7188,MRPL40
7189,MRPL41
7190,MRPL42
7191,MRPL43
7192,MRPL44
7193,MRPL46
7194,MRPL47
7195,MRPL48
7196,MRPL49
7197,MRPL50
7198,MRPL51
7199,MRPL52
7200,MRPL54
7201,MRPL55
7202,MRPL9
7203,MRPS10
7204,MRPS11
7205,MRPS12
7206,MRPS14
7207,MRPS15
7208,MRPS16
7209,MRPS18A
7210,MRPS18B
7211,MRPS18C
7212,MRPS2
7213,MRPS22
7214,MRPS23
7215,MRPS24
7216,MRPS25
7217,MRPS26
7218,MRPS27
7219,MRPS28
7220,MRPS30
7221,MRPS31
7222,MRPS33
7223,MRPS34
7224,MRPS35
7225,MRPS36
7226,MRPS5
7227,MRPS7
7228,MRPS9
7229,MRRF
7230,MRS2
7231,MRTO4
7232,MS4A1
7233,MS4A12
7234,MS4A14
7235,MS4A2
7236,MS4A3
7237,MS4A4A
7238,MS4A5
7239,MS4A6A
7240,MS4A6E
7241,MSANTD1
7242,MSC
7243,MSH2
7244,MSH3
7245,MSH4
7246,MSH6
7247,MSI1
7248,MSI2
7249,MSL1
7250,MSL2
7251,MSL3
7252,MSLN
7253,MSMO1
7254,MSN
7255,MSR1
7256,MSRA
7257,MSRB1
7258,MSRB2
7259,MSRB3
7260,MSS51
7261,MST1
7262,MST1R
7263,MSTN
7264,MSX1
7265,MSX2
7266,MT1F
7267,MT1H
7268,MT1M
7269,MT2A
7270,MT3
7271,MT4
7272,MTA1
7273,MTA2
7274,MTA3
7275,MTBP
7276,MTCH1
7277,MTCH2
7278,MTDH
7279,MTF1
7280,MTF2
7281,MTFMT
7282,MTFR1
7283,MTHFD1
7284,MTHFD1L
7285,MTHFD2
7286,MTHFD2L
7287,MTHFR
7288,MTHFSD
7289,MTIF2
7290,MTIF3
7291,MTM1
7292,MTMR1
7293,MTMR10
7294,MTMR11
7295,MTMR12
7296,MTMR14
7297,MTMR2
7298,MTMR3
7299,MTMR4
7300,MTMR6
7301,MTMR7
7302,MTMR8
7303,MTMR9
7304,MTNR1A
7305,MTNR1B
7306,MTOR
7307,MTPAP
7308,MTR
7309,MTRF1
7310,MTRR
7311,MTSS1
7312,MTTP
7313,MTUS1
7314,MTUS2
7315,MTX2
7316,MTX3
7317,MUC1
7318,MUC12
7319,MUC13
7320,MUC15
7321,MUC16
7322,MUC17
7323,MUC2
7324,MUC20
7325,MUC4
7326,MUC5B
7327,MUC6
7328,MUC7
7329,MUCL1
7330,MUL1
7331,MUS81
7332,MUSK
7333,MUTYH
7334,MVD
7335,MVK
7336,MVP
7337,MX1
7338,MX2
7339,MXD1
7340,MXD3
7341,MXD4
7342,MXI1
7343,MXRA5
7344,MXRA7
7345,MXRA8
7346,MYADM
7347,MYB
7348,MYBBP1A
7349,MYBL1
7350,MYBL2
7351,MYBPC1
7352,MYBPC2
7353,MYBPC3
7354,MYBPH
7355,MYC
7356,MYCBP
7357,MYCBP2
7358,MYCBPAP
7359,MYCN
7360,MYCT1
7361,MYD88
7362,MYEF2
7363,MYEOV
7364,MYF5
7365,MYF6
7366,MYH10
7367,MYH11
7368,MYH13
7369,MYH14
7370,MYH15
7371,MYH2
7372,MYH3
7373,MYH4
7374,MYH6
7375,MYH7
7376,MYH7B
7377,MYH8
7378,MYH9
7379,MYL1
7380,MYL10
7381,MYL12A
7382,MYL12B
7383,MYL2
7384,MYL3
7385,MYL4
7386,MYL5
7387,MYL6
7388,MYL6B
7389,MYL7
7390,MYL9
7391,MYLIP
7392,MYLK
7393,MYLK2
7394,MYLK3
7395,MYLK4
7396,MYLPF
7397,MYNN
7398,MYO10
7399,MYO15A
7400,MYO16
7401,MYO18B
7402,MYO1A
7403,MYO1B
7404,MYO1C
7405,MYO1D
7406,MYO1E
7407,MYO1F
7408,MYO1G
7409,MYO1H
7410,MYO3A
7411,MYO3B
7412,MYO5A
7413,MYO5B
7414,MYO5C
7415,MYO6
7416,MYO7A
7417,MYO7B
7418,MYO9A
7419,MYO9B
7420,MYOC
7421,MYOCD
7422,MYOD1
7423,MYOF
7424,MYOG
7425,MYOM1
7426,MYOM2
7427,MYOM3
7428,MYOT
7429,MYOZ1
7430,MYOZ2
7431,MYOZ3
7432,MYPN
7433,MYPOP
7434,MYRIP
7435,MYSM1
7436,MYT1
7437,MYT1L
7438,MZB1
7439,MZF1
7440,MZT1
7441,MZT2A
7442,MZT2B
7443,N4BP1
7444,N4BP2
7445,N4BP2L1
7446,N4BP2L2
7447,N4BP3
7448,N6AMT1
7449,NAA11
7450,NAA15
7451,NAA16
7452,NAA20
7453,NAA25
7454,NAA30
7455,NAA35
7456,NAA38
7457,NAA40
7458,NAA50
7459,NAAA
7460,NAALAD2
7461,NAALADL1
7462,NAALADL2
7463,NAB1
7464,NAB2
7465,NACA
7466,NACAD
7467,NACC1
7468,NACC2
7469,NADK
7470,NADSYN1
7471,NAE1
7472,NAF1
7473,NAGA
7474,NAGK
7475,NAGLU
7476,NAGPA
7477,NAGS
7478,NAIF1
7479,NALCN
7480,NAMPT
7481,NANOS1
7482,NANOS2
7483,NANP
7484,NANS
7485,NAP1L1
7486,NAP1L2
7487,NAP1L3
7488,NAP1L4
7489,NAP1L5
7490,NAPA
7491,NAPB
7492,NAPEPLD
7493,NAPG
7494,NAPSA
7495,NARF
7496,NARS2
7497,NASP
7498,NAT1
7499,NAT10
7500,NAT14
7501,NAT16
7502,NAT2
7503,NAT8
7504,NAT8L
7505,NAT9
7506,NAV1
7507,NAV2
7508,NAV3
7509,NBAS
7510,NBEA
7511,NBEAL1
7512,NBEAL2
7513,NBL1
7514,NBN
7515,NBR1
7516,NCALD
7517,NCAM1
7518,NCAM2
7519,NCAN
7520,NCAPD2
7521,NCAPD3
7522,NCAPG
7523,NCAPG2
7524,NCAPH
7525,NCAPH2
7526,NCBP1
7527,NCBP2
7528,NCDN
7529,NCEH1
7530,NCF2
7531,NCF4
7532,NCK2
7533,NCKAP1
7534,NCKAP1L
7535,NCKAP5
7536,NCKAP5L
7537,NCKIPSD
7538,NCL
7539,NCLN
7540,NCOA1
7541,NCOA2
7542,NCOA3
7543,NCOA5
7544,NCOA6
7545,NCOR1
7546,NCOR2
7547,NCR1
7548,NCR2
7549,NCR3
7550,NCS1
7551,NCSTN
7552,NDC80
7553,NDE1
7554,NDEL1
7555,NDFIP1
7556,NDFIP2
7557,NDN
7558,NDNF
7559,NDOR1
7560,NDP
7561,NDRG1
7562,NDRG2
7563,NDRG3
7564,NDRG4
7565,NDST1
7566,NDST2
7567,NDST3
7568,NDST4
7569,NDUFA1
7570,NDUFA10
7571,NDUFA12
7572,NDUFA13
7573,NDUFA2
7574,NDUFA3
7575,NDUFA4
7576,NDUFA4L2
7577,NDUFA6
7578,NDUFA8
7579,NDUFAB1
7580,NDUFAF1
7581,NDUFAF2
7582,NDUFAF3
7583,NDUFAF4
7584,NDUFB1
7585,NDUFB10
7586,NDUFB2
7587,NDUFB3
7588,NDUFB4
7589,NDUFB5
7590,NDUFB6
7591,NDUFB7
7592,NDUFB9
7593,NDUFC1
7594,NDUFS1
7595,NDUFS2
7596,NDUFS3
7597,NDUFS4
7598,NDUFS6
7599,NDUFS7
7600,NDUFS8
7601,NDUFV1
7602,NDUFV3
7603,NEBL
7604,NECAB1
7605,NECAB2
7606,NECAB3
7607,NECAP1
7608,NECAP2
7609,NEDD1
7610,NEDD4
7611,NEDD4L
7612,NEDD9
7613,NEFH
7614,NEFM
7615,NEGR1
7616,NEIL1
7617,NEIL2
7618,NEIL3
7619,NEK1
7620,NEK10
7621,NEK11
7622,NEK2
7623,NEK3
7624,NEK4
7625,NEK6
7626,NEK7
7627,NEK8
7628,NEK9
7629,NELL1
7630,NELL2
7631,NEMF
7632,NENF
7633,NEO1
7634,NES
7635,NET1
7636,NETO1
7637,NETO2
7638,NEU2
7639,NEU3
7640,NEU4
7641,NEURL1B
7642,NEURL2
7643,NEUROD2
7644,NEUROD4
7645,NEUROD6
7646,NEUROG1
7647,NEUROG2
7648,NEUROG3
7649,NEXN
7650,NF1
7651,NF2
7652,NFAM1
7653,NFASC
7654,NFAT5
7655,NFATC1
7656,NFATC2
7657,NFATC2IP
7658,NFATC3
7659,NFATC4
7660,NFE2
7661,NFE2L1
7662,NFE2L2
7663,NFE2L3
7664,NFIA
7665,NFIB
7666,NFIC
7667,NFIL3
7668,NFIX
7669,NFKB1
7670,NFKB2
7671,NFKBIA
7672,NFKBIB
7673,NFKBID
7674,NFKBIE
7675,NFKBIL1
7676,NFKBIZ
7677,NFRKB
7678,NFS1
7679,NFU1
7680,NFX1
7681,NFXL1
7682,NFYA
7683,NFYB
7684,NFYC
7685,NGB
7686,NGDN
7687,NGEF
7688,NGF
7689,NGFR
7690,NGLY1
7691,NHLH1
7692,NHLH2
7693,NHLRC2
7694,NHLRC3
7695,NHP2
7696,NHS
7697,NHSL1
7698,NHSL2
7699,NICN1
7700,NID1
7701,NID2
7702,NIN
7703,NINJ1
7704,NINJ2
7705,NINL
7706,NIP7
7707,NIPA1
7708,NIPA2
7709,NIPAL1
7710,NIPAL2
7711,NIPAL3
7712,NIPAL4
7713,NIPBL
7714,NIPSNAP1
7715,NIPSNAP3A
7716,NIPSNAP3B
7717,NISCH
7718,NIT1
7719,NIT2
7720,NKAIN1
7721,NKAIN2
7722,NKAIN3
7723,NKAIN4
7724,NKAP
7725,NKAPL
7726,NKD1
7727,NKD2
7728,NKG7
7729,NKIRAS1
7730,NKIRAS2
7731,NKPD1
7732,NKRF
7733,NKTR
7734,NKX2-2
7735,NKX2-3
7736,NKX2-5
7737,NKX2-8
7738,NKX3-1
7739,NKX3-2
7740,NKX6-1
7741,NKX6-2
7742,NKX6-3
7743,NLE1
7744,NLGN1
7745,NLGN2
7746,NLGN3
7747,NLGN4X
7748,NLGN4Y
7749,NLK
7750,NLN
7751,NLRC4
7752,NLRC5
7753,NLRP10
7754,NLRP11
7755,NLRP12
7756,NLRP13
7757,NLRP14
7758,NLRP2
7759,NLRP4
7760,NLRP5
7761,NLRP8
7762,NLRP9
7763,NLRX1
7764,NMB
7765,NMBR
7766,NMD3
7767,NME3
7768,NME4
7769,NME5
7770,NME6
7771,NME7
7772,NMI
7773,NMNAT1
7774,NMNAT2
7775,NMNAT3
7776,NMRAL1
7777,NMT1
7778,NMT2
7779,NMU
7780,NMUR1
7781,NMUR2
7782,NNAT
7783,NNMT
7784,NNT
7785,NOA1
7786,NOB1
7787,NOBOX
7788,NOC2L
7789,NOC3L
7790,NOC4L
7791,NOD1
7792,NOD2
7793,NODAL
7794,NOG
7795,NOL10
7796,NOL11
7797,NOL3
7798,NOL4
7799,NOL6
7800,NOL7
7801,NOL8
7802,NOL9
7803,NOLC1
7804,NOM1
7805,NONO
7806,NOP10
7807,NOP14
7808,NOP16
7809,NOP2
7810,NOP56
7811,NOP58
7812,NOS1
7813,NOS2
7814,NOS3
7815,NOSIP
7816,NOTCH1
7817,NOTCH2
7818,NOTCH3
7819,NOTCH4
7820,NOTUM
7821,NOVA1
7822,NOVA2
7823,NOX1
7824,NOX3
7825,NOX4
7826,NOX5
7827,NOXA1
7828,NOXO1
7829,NOXRED1
7830,NPAS1
7831,NPAS2
7832,NPAS3
7833,NPAS4
7834,NPAT
7835,NPB
7836,NPBWR1
7837,NPBWR2
7838,NPC1
7839,NPC1L1
7840,NPC2
7841,NPDC1
7842,NPEPL1
7843,NPEPPS
7844,NPFF
7845,NPFFR1
7846,NPFFR2
7847,NPHP1
7848,NPHP3
7849,NPHP4
7850,NPHS1
7851,NPHS2
7852,NPL
7853,NPLOC4
7854,NPM1
7855,NPM2
7856,NPM3
7857,NPPA
7858,NPPB
7859,NPPC
7860,NPR1
7861,NPR2
7862,NPR3
7863,NPRL2
7864,NPRL3
7865,NPTN
7866,NPTX1
7867,NPTX2
7868,NPTXR
7869,NPVF
7870,NPW
7871,NPY
7872,NPY1R
7873,NPY2R
7874,NPY5R
7875,NQO1
7876,NQO2
7877,NR0B1
7878,NR0B2
7879,NR1D2
7880,NR1H2
7881,NR1H3
7882,NR1H4
7883,NR1I2
7884,NR1I3
7885,NR2C1
7886,NR2C2
7887,NR2C2AP
7888,NR2E1
7889,NR2F1
7890,NR2F2
7891,NR2F6
7892,NR3C1
7893,NR3C2
7894,NR4A1
7895,NR4A2
7896,NR4A3
7897,NR5A1
7898,NR5A2
7899,NR6A1
7900,NRAP
7901,NRARP
7902,NRAS
7903,NRBF2
7904,NRBP1
7905,NRBP2
7906,NRCAM
7907,NREP
7908,NRF1
7909,NRG1
7910,NRG2
7911,NRG3
7912,NRG4
7913,NRGN
7914,NRIP1
7915,NRIP2
7916,NRIP3
7917,NRK
7918,NRL
7919,NRM
7920,NRN1
7921,NRP1
7922,NRP2
7923,NRSN1
7924,NRSN2
7925,NRTN
7926,NRXN1
7927,NRXN2
7928,NRXN3
7929,NSA2
7930,NSD1
7931,NSDHL
7932,NSF
7933,NSFL1C
7934,NSL1
7935,NSMAF
7936,NSMCE1
7937,NSMCE2
7938,NSMCE4A
7939,NSRP1
7940,NSUN2
7941,NSUN3
7942,NSUN4
7943,NSUN5
7944,NSUN6
7945,NSUN7
7946,NT5C
7947,NT5C1A
7948,NT5C2
7949,NT5DC1
7950,NT5DC2
7951,NT5DC3
7952,NT5E
7953,NT5M
7954,NTAN1
7955,NTF3
7956,NTHL1
7957,NTM
7958,NTN1
7959,NTN3
7960,NTN4
7961,NTN5
7962,NTNG1
7963,NTNG2
7964,NTPCR
7965,NTRK1
7966,NTRK2
7967,NTRK3
7968,NTS
7969,NTSR1
7970,NTSR2
7971,NUAK1
7972,NUB1
7973,NUBP1
7974,NUBP2
7975,NUBPL
7976,NUCB1
7977,NUCB2
7978,NUCKS1
7979,NUDC
7980,NUDCD1
7981,NUDCD2
7982,NUDCD3
7983,NUDT1
7984,NUDT10
7985,NUDT11
7986,NUDT12
7987,NUDT13
7988,NUDT15
7989,NUDT16
7990,NUDT16L1
7991,NUDT17
7992,NUDT19
7993,NUDT2
7994,NUDT21
7995,NUDT22
7996,NUDT4
7997,NUDT5
7998,NUDT6
7999,NUDT7
8000,NUDT9
8001,NUF2
8002,NUFIP1
8003,NUFIP2
8004,NUMA1
8005,NUMB
8006,NUMBL
8007,NUP107
8008,NUP133
8009,NUP153
8010,NUP155
8011,NUP160
8012,NUP188
8013,NUP205
8014,NUP210
8015,NUP210L
8016,NUP214
8017,NUP35
8018,NUP37
8019,NUP43
8020,NUP50
8021,NUP54
8022,NUP62CL
8023,NUP85
8024,NUP88
8025,NUP93
8026,NUP98
8027,NUS1
8028,NUSAP1
8029,NUTF2
8030,NVL
8031,NXF1
8032,NXF3
8033,NXF5
8034,NXNL1
8035,NXNL2
8036,NXPH1
8037,NXPH2
8038,NXPH3
8039,NXPH4
8040,NXT1
8041,NXT2
8042,NYAP1
8043,NYAP2
8044,NYNRIN
8045,NYX
8046,OAF
8047,OAS1
8048,OAS2
8049,OAS3
8050,OASL
8051,OAT
8052,OAZ1
8053,OAZ2
8054,OAZ3
8055,OBP2B
8056,OBSL1
8057,OCA2
8058,OCEL1
8059,OCIAD1
8060,OCIAD2
8061,OCRL
